Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,10,32.1,414.1,65.3,6.3,0.70,0.50,24.9,26.1,38.2,300.4,2.70,0.20,7.6,16.0,25.8,113.7,1.00,4.4,6.80,6.60,57.3,2.10,53.1,7.1,17.2
2,Tampa Bay Buccaneers,11,29.1,357.8,64.8,5.5,1.27,0.45,22.0,25.5,39.5,259.5,2.27,0.82,6.4,14.1,24.0,98.3,1.00,4.1,5.18,5.36,47.8,2.73,45.6,10.4,7.49
3,Seattle Seahawks,10,31.8,400.0,64.1,6.2,1.40,0.40,23.5,25.6,36.2,278.7,3.00,1.00,7.1,14.7,24.6,121.3,1.00,4.9,7.10,5.30,39.2,1.70,47.3,12.7,12.4
4,Green Bay Packers,10,30.8,392.9,62.9,6.2,0.90,0.50,22.0,24.0,35.2,277.0,2.90,0.40,7.6,13.9,26.5,115.9,0.80,4.4,6.00,5.50,48.9,2.10,47.2,7.5,13.4
5,Pittsburgh Steelers,10,29.8,347.8,65.9,5.3,0.90,0.40,21.3,25.8,38.4,245.6,2.40,0.50,6.2,13.0,26.5,102.2,1.00,3.9,5.80,5.50,45.7,2.50,43.1,6.9,9.12
6,New Orleans Saints,10,29.5,373.6,65.5,5.7,1.00,0.70,23.4,24.8,33.7,248.1,1.80,0.30,7.0,13.2,30.2,125.5,1.50,4.2,8.60,5.70,67.7,1.60,48.1,8.3,10.8
7,Arizona Cardinals,10,28.7,414.3,67.5,6.1,1.20,0.40,25.7,24.1,35.3,256.6,1.90,0.80,7.0,13.8,30.6,157.7,1.60,5.2,9.50,7.90,63.4,2.40,46.3,11.1,12.2
8,Las Vegas Raiders,10,28.6,369.4,63.6,5.8,1.00,0.70,22.4,21.9,31.4,235.2,1.90,0.30,7.2,12.0,30.8,134.2,1.30,4.4,8.30,5.40,44.1,2.10,53.0,10.0,13.0
9,Tennessee Titans,10,27.9,379.4,64.1,5.9,0.50,0.10,23.2,20.5,31.4,228.3,2.20,0.40,6.9,12.9,31.2,151.1,1.10,4.8,7.90,5.30,50.3,2.40,46.6,4.9,14.2
10,Indianapolis Colts,10,27.6,373.4,65.5,5.7,1.10,0.30,22.3,24.1,35.5,264.2,1.40,0.80,7.2,13.0,29.0,109.2,1.00,3.8,7.30,6.10,61.6,2.00,44.8,10.5,7.30
11,Buffalo Bills,10,27.2,376.5,63.7,5.9,1.30,0.60,23.8,25.3,37.0,278.9,2.20,0.70,7.2,14.0,24.7,97.6,0.90,4.0,7.60,6.80,64.0,2.20,48.5,11.7,11.2
12,Baltimore Ravens,10,26.8,343.9,63.0,5.5,1.20,0.50,19.8,17.7,27.9,183.4,1.50,0.70,6.1,10.2,32.7,160.5,1.10,4.9,8.40,6.50,62.9,1.20,41.7,11.1,5.24
13,Minnesota Vikings,10,26.4,387.1,59.1,6.5,1.60,0.50,21.8,18.4,27.5,236.4,2.00,1.10,8.0,11.4,29.7,150.7,1.40,5.1,8.60,5.50,42.6,1.80,38.5,14.7,9.28
14,Miami Dolphins,10,26.4,308.6,59.6,5.2,1.10,0.30,20.2,21.0,31.2,214.2,1.60,0.80,6.5,11.9,26.4,94.4,0.90,3.6,6.00,4.60,39.0,2.30,43.1,10.1,2.92
15,Los Angeles Chargers,10,26.0,400.9,72.0,5.6,1.20,0.60,23.7,25.5,38.2,279.6,2.20,0.60,6.9,14.0,31.7,121.3,0.70,3.8,7.50,5.60,46.1,2.20,39.1,9.6,8.02
16,Carolina Panthers,11,23.0,353.1,61.1,5.8,1.09,0.27,21.5,24.2,34.0,246.7,1.27,0.82,6.9,12.8,25.1,106.4,1.18,4.2,6.18,6.36,49.1,2.45,46.2,11.3,7.93
17,Atlanta Falcons,10,25.2,381.9,69.0,5.5,1.00,0.30,23.2,25.5,38.9,280.6,1.50,0.70,6.7,15.2,27.4,101.3,1.10,3.7,5.90,5.80,51.6,2.10,45.9,9.0,9.57
18,Los Angeles Rams,10,24.3,397.3,68.5,5.8,1.50,0.70,23.4,25.2,37.2,272.8,1.60,0.80,7.1,13.7,30.0,124.5,1.40,4.2,8.50,4.20,39.2,1.20,36.2,12.1,7.45
19,San Francisco 49ers,10,23.8,364.7,64.0,5.7,1.70,0.60,22.0,23.2,34.9,252.7,1.40,1.10,6.8,13.6,26.6,112.0,1.50,4.2,6.10,5.80,52.2,2.30,40.0,13.3,6.60
20,Cleveland Browns,10,23.8,345.4,61.2,5.6,1.10,0.40,20.3,16.9,27.8,188.6,1.60,0.70,6.4,10.3,31.9,156.8,1.00,4.9,8.40,5.70,52.6,1.60,38.2,10.8,6.15
21,Dallas Cowboys,10,23.5,393.1,72.5,5.4,2.10,1.20,25.0,27.0,42.2,276.1,1.50,0.90,6.1,15.3,27.6,117.0,1.00,4.2,7.80,6.30,52.7,1.90,38.1,18.6,3.41
22,Houston Texans,10,22.7,358.9,58.5,6.1,0.90,0.40,19.7,23.3,33.9,274.3,2.00,0.50,7.5,13.4,22.0,84.6,0.60,3.8,5.00,4.40,35.1,1.30,42.0,8.0,8.23
23,Detroit Lions,10,22.7,342.9,62.1,5.5,1.00,0.20,21.1,22.4,35.7,247.5,1.80,0.80,6.4,13.3,23.7,95.4,0.70,4.0,5.40,5.90,54.0,2.40,39.3,8.4,5.50
24,Philadelphia Eagles,10,22.0,330.1,66.0,5.0,2.00,0.60,21.4,22.2,37.9,209.0,1.40,1.40,5.0,11.6,24.1,121.1,1.00,5.0,7.10,6.10,48.2,2.70,29.4,16.8,-1.57
25,Cincinnati Bengals,10,21.3,349.1,70.7,4.9,1.40,0.80,22.7,26.8,41.5,247.2,1.30,0.60,5.5,15.2,25.6,101.9,0.90,4.0,5.80,6.10,48.1,1.70,37.2,11.5,2.85
26,New England Patriots,10,20.9,363.8,64.1,5.7,1.50,0.40,23.2,19.8,29.8,210.2,0.60,1.10,6.7,11.6,32.5,153.6,1.50,4.7,9.70,3.60,35.8,1.90,38.4,15.2,6.59
27,Denver Broncos,10,20.6,346.5,65.3,5.3,2.30,0.60,19.4,21.1,37.2,231.7,1.20,1.70,5.9,11.2,25.8,114.8,0.90,4.4,5.40,5.60,50.6,2.80,33.9,19.0,-2.35
28,Jacksonville Jaguars,10,20.2,327.0,62.4,5.2,1.60,0.50,19.9,23.6,37.7,229.7,1.50,1.10,5.6,12.6,21.7,97.3,0.70,4.5,5.30,6.20,64.8,2.00,33.3,14.3,0.65
29,Washington Football Team,10,20.0,324.0,64.3,5.0,1.70,0.90,20.8,23.7,36.2,224.9,1.00,0.80,5.7,12.5,24.9,99.1,1.30,4.0,6.30,5.20,42.9,2.00,33.0,13.4,1.49
30,New York Giants,10,19.5,306.6,61.4,5.0,1.50,0.60,19.5,21.3,33.5,196.1,0.80,0.90,5.4,11.5,24.8,110.5,0.90,4.5,5.90,5.50,43.3,2.10,36.5,14.4,-0.16
31,Chicago Bears,10,19.1,300.9,64.4,4.7,1.40,0.30,18.8,25.4,40.2,222.7,1.60,1.10,5.2,12.7,21.7,78.2,0.20,3.6,4.30,6.40,57.6,1.80,31.0,11.5,-3.25
32,New York Jets,10,14.9,268.6,58.8,4.6,1.10,0.20,16.7,18.6,32.5,170.0,0.90,0.90,4.8,8.50,23.6,98.6,0.50,4.2,5.80,6.60,63.9,2.40,27.4,10.4,-4.63
