Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Aaron Jones\JoneAa00,GNB,RB,26,2,2,0,0,0,0,0,34,234,6.88,3,14,8,78,9.75,1,1,0,4,,,55,63.2,66.2,59.2,35,1,1
2,Calvin Ridley\RidlCa00,ATL,WR,26,2,2,0,0,0,0,0,1,-1,-1.00,0,22,16,239,14.94,4,0,0,4,,,48,63.8,66.8,55.8,31,1,2
3,Alvin Kamara\KamaAl00,NOR,RB,25,2,2,0,0,0,0,0,25,95,3.80,3,17,14,146,10.43,1,0,0,4,,,48,62.1,65.1,55.1,28,2,3
4,Christian McCaffrey\McCaCh01,CAR,RB,24,2,2,0,0,0,0,0,41,156,3.80,4,9,7,67,9.57,0,0,0,4,,,46,53.3,56.3,49.8,26,3,4
5,Russell Wilson\WilsRu00,SEA,QB,32,2,2,52,63,610,9,1,8,68,8.50,0,0,0,0,,0,1,0,0,,,65,65.2,69.2,66.2,24,1,5
6,Josh Jacobs\JacoJo01,LVR,RB,22,2,2,0,0,0,0,0,52,181,3.48,3,9,7,63,9.00,0,0,0,3,,,42,49.4,52.4,45.9,22,4,6
7,Josh Allen\AlleJo02,BUF,QB,24,2,2,57,81,727,6,0,18,76,4.22,1,0,0,0,,0,2,2,1,,,63,62.7,67.7,62.7,22,2,7
8,Ezekiel Elliott\ElliEz00,DAL,RB,25,2,2,0,0,0,0,0,44,185,4.20,2,11,9,64,7.11,1,2,1,3,,,41,49.9,53.9,45.4,21,5,8
9,Cam Newton\NewtCa00,NWE,QB,31,2,2,45,63,552,1,1,26,122,4.69,4,0,0,0,,0,0,0,4,,,60,60.3,67.3,61.3,19,3,9
10,Kyler Murray\MurrKy00,ARI,QB,23,2,2,52,78,516,2,2,21,158,7.52,3,0,0,0,,0,0,0,3,,,58,58.4,66.4,60.4,18,4,10
11,Raheem Mostert\MostRa00,SFO,RB,28,2,2,0,0,0,0,0,23,148,6.43,1,7,6,110,18.33,1,0,0,2,,,38,43.8,49.8,40.8,18,6,11
12,Dak Prescott\PresDa01,DAL,QB,27,2,2,59,86,716,2,0,8,48,6.00,3,0,0,0,,0,1,1,3,,,57,57.4,61.4,57.4,17,5,12
13,Dalvin Cook\CookDa01,MIN,RB,25,2,2,0,0,0,0,0,26,113,4.35,3,4,3,6,2.00,0,0,0,3,3,,36,38.9,41.9,37.4,16,7,13
14,Chris Carson\CarsCh00,SEA,RB,26,2,2,0,0,0,0,0,23,93,4.04,0,9,9,81,9.00,3,0,0,3,,,35,44.4,44.4,39.9,15,8,14
15,Jonnu Smith\SmitJo01,TEN,TE,25,2,2,0,0,0,0,0,0,0,,0,12,8,120,15.00,3,0,0,3,,,30,38.0,41.0,34.0,14,1,15
16,Davante Adams\AdamDa01,GNB,WR,28,2,2,0,0,0,0,0,0,0,,0,20,17,192,11.29,2,0,0,2,,,31,48.2,51.2,39.7,14,2,16
17,D.K. Metcalf\MetcDK00,SEA,WR,23,2,2,0,0,0,0,0,0,0,,0,14,8,187,23.38,2,0,0,2,,,31,38.7,41.7,34.7,14,3,17
18,Stefon Diggs\DiggSt00,BUF,WR,27,2,2,0,0,0,0,0,0,0,,0,22,16,239,14.94,1,0,0,1,,,30,45.9,48.9,37.9,13,4,18
19,Noah Fant\FantNo00,DEN,TE,23,2,2,0,0,0,0,0,0,0,,0,11,9,138,15.33,2,0,0,2,1,,28,36.8,39.8,32.3,12,2,19
20,Tyler Higbee\HigbTy00,LAR,TE,27,2,2,0,0,0,0,0,0,0,,0,9,8,94,11.75,3,0,0,3,,,27,35.4,35.4,31.4,12,3,20
21,Matt Ryan\RyanMa00,ATL,QB,35,2,2,61,90,723,6,1,5,15,3.00,0,0,0,0,,0,0,0,0,,,52,52.4,56.4,53.4,12,6,21
22,Robby Anderson\AndeRo04,CAR,WR,27,2,2,0,0,0,0,0,0,0,,0,18,15,223,14.87,1,1,1,1,1,,28,43.3,47.3,35.8,11,5,22
23,Adam Thielen\ThieAd00,MIN,WR,30,2,2,0,0,0,0,0,0,0,,0,16,9,141,15.67,2,0,0,2,1,,28,37.1,40.1,32.6,11,6,23
