Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Indianapolis Colts,3,15.0,225.3,51.3,4.4,2.00,0.00,14.7,15.7,25.0,132.0,1.33,2.00,4.7,7.67,23.3,93.3,0.33,4.0,4.67,6.33,54.3,2.33,26.7,20.0,7.48
2,San Francisco 49ers,3,15.3,304.0,63.0,4.8,1.33,0.67,19.7,21.3,34.7,187.3,0.67,0.67,5.2,10.0,26.7,116.7,0.67,4.4,7.00,6.33,65.0,2.67,32.3,12.9,3.11
3,Baltimore Ravens,3,18.7,375.7,66.0,5.7,2.00,1.33,22.3,25.7,39.0,268.7,2.00,0.67,6.6,15.7,25.0,107.0,0.33,4.3,4.33,6.00,46.7,2.33,32.3,19.4,-4.21
4,Los Angeles Chargers,3,19.0,337.0,62.7,5.4,0.67,0.33,18.7,24.0,37.0,227.7,1.00,0.33,5.8,13.0,23.7,109.3,0.33,4.6,5.00,7.00,54.7,0.67,43.8,6.3,-1.28
5,Pittsburgh Steelers,3,19.3,290.0,61.0,4.8,1.67,0.33,18.7,21.3,35.7,236.0,2.00,1.33,5.8,13.3,20.3,54.0,0.33,2.7,2.67,4.00,34.7,2.67,29.4,14.7,2.56
6,Kansas City Chiefs,3,20.0,355.7,63.3,5.6,1.00,0.33,21.7,19.0,31.0,202.7,1.00,0.67,5.9,10.7,29.0,153.0,1.00,5.3,9.67,5.67,40.7,1.33,34.5,10.3,-5.58
7,Tampa Bay Buccaneers,3,20.3,308.0,65.3,4.7,2.00,0.67,18.3,25.7,37.3,237.7,1.00,1.33,5.8,12.3,24.0,70.3,1.00,2.9,4.00,6.33,75.3,2.00,27.8,16.7,2.83
8,Arizona Cardinals,3,20.3,334.7,61.0,5.5,0.67,0.67,19.7,20.0,32.3,224.7,1.67,0.00,6.2,12.0,25.0,110.0,0.33,4.4,5.33,6.00,47.0,2.33,40.6,3.1,-3.95
9,Chicago Bears,3,20.7,364.0,66.3,5.5,1.33,0.33,23.0,22.7,40.0,245.0,0.67,1.00,5.8,14.0,24.0,119.0,1.33,5.0,5.67,6.00,54.0,3.33,36.1,11.1,-4.69
10,Miami Dolphins,3,21.7,399.3,61.7,6.5,1.33,1.00,24.7,23.0,32.0,265.7,1.33,0.33,7.7,12.3,27.3,133.7,1.67,4.9,10.0,5.67,55.0,2.33,33.3,13.3,-9.89
11,New England Patriots,3,22.0,357.7,58.0,6.2,2.33,1.00,21.3,21.7,30.0,235.3,2.33,1.33,7.4,11.7,26.3,122.3,0.33,4.6,7.67,6.33,47.7,2.00,36.7,23.3,-4.35
12,Los Angeles Rams,3,23.7,372.7,65.3,5.7,1.67,0.67,24.0,25.0,38.3,253.3,1.67,1.00,6.2,13.7,24.7,119.3,1.33,4.8,9.33,5.67,45.0,1.00,41.4,17.2,-6.72
