Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Green Bay Packers,3,122,1379,201,6.9,,0,81,71,106,864,9,0,8.0,44,93,515,4,5.5,26,16,133,11,66.7,0.0,73.78
2,Seattle Seahawks,3,111,1224,188,6.5,2,1,67,79,103,869,14,1,7.8,41,76,355,1,4.7,20,20,144,6,45.7,5.7,47.67
3,Buffalo Bills,3,93,1302,198,6.6,5,4,77,81,114,991,10,1,8.1,46,76,311,2,4.1,23,18,189,8,48.4,16.1,53.46
4,Baltimore Ravens,3,91,1016,176,5.8,2,2,62,54,78,517,5,0,5.9,32,88,499,3,5.7,26,16,132,4,50.0,6.7,27.81
5,Kansas City Chiefs,3,91,1300,210,6.2,1,1,80,82,121,877,9,0,7.1,53,87,423,2,4.9,22,18,133,5,55.2,3.4,60.48
6,Atlanta Falcons,3,90,1257,214,5.9,3,1,72,80,129,928,7,2,6.9,51,80,329,3,4.1,15,21,198,6,47.4,7.9,26.73
7,Los Angeles Rams,3,89,1349,205,6.6,4,2,81,63,90,838,5,2,8.9,44,111,511,6,4.6,35,12,88,2,48.4,9.7,60.05
8,New Orleans Saints,3,88,1092,181,6.0,2,1,65,74,105,776,6,1,7.2,41,73,316,3,4.3,18,24,331,6,46.9,6.3,30.54
9,Las Vegas Raiders,3,88,1124,193,5.8,4,4,73,74,100,749,6,0,7.1,42,88,375,4,4.3,22,12,93,9,55.2,13.8,42.68
10,Dallas Cowboys,3,88,1472,230,6.4,6,4,84,96,145,1150,5,2,7.6,54,79,322,6,4.1,23,24,184,7,43.2,16.2,30.33
11,New England Patriots,3,87,1227,201,6.1,3,1,83,62,91,693,2,2,7.2,38,105,534,7,5.1,37,7,92,8,43.3,10.0,44.96
12,San Francisco 49ers,3,87,1145,193,5.9,1,0,64,66,96,747,5,1,7.2,41,89,398,5,4.5,16,16,157,7,51.6,3.2,33.81
13,Indianapolis Colts,3,84,1152,192,6.0,3,0,72,74,96,794,3,3,8.0,41,93,358,3,3.8,22,18,213,9,48.3,10.3,26.43
14,Denver Broncos,4,82,1227,253,4.8,8,2,76,85,142,857,6,6,5.5,43,98,370,3,3.8,17,21,210,16,31.3,16.7,-5.90
15,Tampa Bay Buccaneers,3,82,1002,187,5.4,5,2,60,71,109,726,6,3,6.4,33,73,276,4,3.8,17,23,211,10,38.9,11.1,15.80
16,Pittsburgh Steelers,3,80,1146,204,5.6,3,2,63,73,109,727,7,1,6.4,42,90,419,2,4.7,19,15,124,2,40.0,5.7,28.23
17,Tennessee Titans,3,80,1175,210,5.6,1,0,72,70,104,788,6,1,7.3,42,102,387,2,3.8,23,13,112,7,51.5,3.0,37.21
18,Arizona Cardinals,3,77,1219,214,5.7,5,0,79,75,113,770,4,5,6.5,41,95,449,5,4.7,31,27,237,7,41.2,14.7,23.45
19,Minnesota Vikings,3,75,1021,158,6.5,7,1,59,46,78,581,5,6,6.8,28,73,440,4,6.0,23,14,85,8,36.4,21.2,19.35
20,Cleveland Browns,3,75,1040,188,5.5,4,2,62,53,85,529,5,2,5.9,31,99,511,5,5.2,26,22,206,5,37.5,12.5,19.58
21,Chicago Bears,3,74,1104,207,5.3,4,0,68,67,115,690,9,4,5.7,40,85,414,0,4.9,22,21,176,6,37.1,11.4,16.96
22,Miami Dolphins,3,70,973,187,5.2,3,0,71,69,97,649,4,3,6.4,40,85,324,4,3.8,22,13,106,9,40.0,10.0,23.43
23,Jacksonville Jaguars,3,70,1039,184,5.6,4,1,69,79,107,711,6,3,6.1,45,67,328,3,4.9,18,22,184,6,42.9,14.3,22.85
24,Detroit Lions,3,70,1055,192,5.5,2,0,66,66,106,738,5,2,6.4,40,77,317,2,4.1,18,22,193,8,42.4,6.1,19.04
25,Carolina Panthers,3,68,1117,187,6.0,4,2,60,77,104,820,2,2,7.3,41,75,297,4,4.0,15,17,172,4,46.9,12.5,17.87
26,Cincinnati Bengals,3,66,952,225,4.2,3,2,73,91,141,714,5,1,4.6,53,70,238,1,3.4,14,20,162,6,38.9,8.3,2.44
27,New York Jets,4,65,1112,249,4.5,5,1,65,84,140,718,3,4,4.7,36,97,394,2,4.1,21,32,335,8,29.5,11.4,-33.76
28,Washington Football Team,3,62,864,192,4.5,7,4,56,57,101,564,4,3,5.1,33,81,300,4,3.7,18,17,137,5,28.9,15.8,-11.14
29,Philadelphia Eagles,3,59,1009,222,4.5,8,2,71,79,132,656,3,6,4.6,37,79,353,3,4.5,26,19,143,8,31.6,21.1,-15.65
30,Houston Texans,3,57,924,162,5.7,4,1,52,64,95,726,4,3,6.7,40,54,198,3,3.7,11,13,108,1,34.5,13.8,6.89
31,Los Angeles Chargers,3,52,1277,224,5.7,5,3,73,73,112,822,2,2,7.0,42,106,455,3,4.3,27,20,135,4,33.3,15.2,5.82
32,New York Giants,3,38,817,175,4.7,7,3,55,68,113,647,2,4,5.3,39,53,170,1,3.2,9,12,63,7,31.0,24.1,-16.64
