Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,9,18.3,323.0,63.3,5.1,1.56,1.11,20.7,23.2,36.2,213.3,1.33,0.44,5.5,12.8,24.3,109.7,0.78,4.5,5.44,4.22,33.1,2.44,27.0,14.0,0.68
2,Los Angeles Rams,9,18.7,296.4,62.0,4.8,1.44,0.56,18.6,22.3,34.8,199.7,1.00,0.89,5.2,11.1,23.8,96.8,0.78,4.1,6.22,4.89,39.7,1.22,28.6,13.3,3.45
3,Pittsburgh Steelers,9,19.0,318.1,62.8,5.1,1.89,0.67,18.1,19.2,34.2,211.3,1.67,1.22,5.5,11.1,24.6,106.8,0.56,4.3,5.33,6.33,62.3,1.67,29.1,15.5,2.14
4,Indianapolis Colts,9,19.7,290.4,60.1,4.8,1.44,0.22,18.7,19.8,31.8,198.7,1.22,1.22,5.8,11.0,26.0,91.8,0.78,3.5,5.44,5.22,50.8,2.22,31.5,14.1,-0.49
5,Miami Dolphins,9,20.2,371.9,66.0,5.6,1.67,0.78,23.1,22.9,36.4,243.8,1.44,0.89,6.3,12.8,27.1,128.1,1.22,4.7,8.44,5.33,51.9,1.89,28.7,14.9,-1.75
6,Kansas City Chiefs,9,20.3,354.1,65.4,5.4,1.56,0.56,21.7,21.3,34.2,215.7,1.22,1.00,5.9,11.1,29.1,138.4,1.00,4.8,8.44,5.89,44.9,2.11,35.1,14.9,-3.12
7,Chicago Bears,10,20.9,340.1,65.8,5.2,1.10,0.50,20.5,21.4,35.0,225.0,1.20,0.60,6.1,11.4,28.7,115.1,0.60,4.0,6.10,6.40,59.9,3.00,37.0,9.2,-1.20
8,Arizona Cardinals,9,23.3,370.0,67.7,5.5,1.33,0.44,24.0,24.9,38.8,249.8,1.89,0.89,6.1,13.8,26.4,120.2,0.56,4.5,7.56,7.11,55.7,2.67,40.6,11.5,-6.41
9,New England Patriots,9,23.4,353.3,57.8,6.1,1.67,0.44,20.3,18.6,27.2,224.1,1.56,1.22,7.8,10.8,29.1,129.2,0.89,4.4,8.11,5.33,43.6,1.44,44.8,17.2,-7.28
10,New Orleans Saints,9,23.7,308.2,61.0,5.1,1.44,0.44,20.2,22.9,35.2,231.4,2.22,1.00,6.1,12.6,23.1,76.8,0.56,3.3,4.22,4.33,37.0,3.44,40.4,10.6,-5.75
11,Washington Football Team,9,24.2,320.7,61.4,5.2,1.00,0.11,18.8,19.1,29.3,194.7,1.56,0.89,6.0,10.6,29.0,126.0,1.00,4.3,6.56,5.89,47.9,1.67,39.6,8.9,-3.12
12,Green Bay Packers,9,24.9,335.9,58.1,5.8,0.78,0.33,20.3,21.4,31.6,225.1,1.56,0.44,6.7,11.0,24.3,110.8,1.22,4.6,7.33,5.22,45.1,2.00,39.6,7.7,-7.70
13,Tampa Bay Buccaneers,10,22.6,300.3,61.8,4.9,1.70,0.50,18.4,24.2,35.5,223.7,1.70,1.20,5.8,12.0,23.1,76.6,0.80,3.3,4.90,5.70,60.4,1.50,33.3,14.9,1.28
14,Philadelphia Eagles,9,25.8,344.8,68.0,5.1,1.11,0.78,22.1,22.8,34.0,211.8,1.44,0.33,5.7,13.3,30.6,133.0,1.56,4.4,6.56,7.67,67.3,2.22,37.5,8.0,-3.48
15,San Francisco 49ers,10,23.4,315.9,60.3,5.2,1.20,0.40,19.8,20.4,31.4,208.9,1.70,0.80,6.3,10.7,27.1,107.0,0.70,3.9,6.50,5.40,48.9,2.60,41.1,10.3,-3.81
16,Tennessee Titans,9,26.1,398.1,68.7,5.8,1.56,0.56,24.1,27.6,40.7,277.4,2.22,1.00,6.6,15.3,26.8,120.7,1.00,4.5,7.11,6.56,51.1,1.67,42.4,14.1,-10.07
17,New York Giants,10,23.6,358.6,64.2,5.6,1.50,0.70,22.4,24.7,36.2,257.7,1.50,0.80,6.7,14.3,25.5,100.9,1.00,4.0,6.40,5.30,40.8,1.70,45.0,13.0,-6.05
18,Las Vegas Raiders,9,26.8,377.6,63.9,5.9,1.11,0.33,22.7,23.0,37.3,264.9,1.56,0.78,6.9,14.0,25.3,112.7,1.44,4.4,6.78,6.11,62.6,1.89,48.3,10.1,-10.94
19,Cleveland Browns,9,27.1,357.1,66.6,5.4,1.56,0.78,23.4,25.2,37.8,252.2,2.00,0.78,6.3,14.4,26.3,104.9,1.00,4.0,7.78,5.56,46.0,1.22,44.4,15.6,-9.17
20,Los Angeles Chargers,9,27.2,349.8,62.3,5.6,0.89,0.44,19.1,22.6,35.7,232.3,2.00,0.44,6.2,12.2,24.9,117.4,0.89,4.7,5.78,5.89,51.6,1.11,44.1,6.9,-3.26
21,Minnesota Vikings,9,27.4,383.6,66.6,5.8,1.22,0.44,22.7,24.2,36.4,267.9,2.11,0.78,7.0,14.0,28.1,115.7,0.56,4.1,7.00,4.67,43.7,1.67,49.5,8.4,-8.37
22,Cincinnati Bengals,9,27.8,398.2,64.1,6.2,1.00,0.11,22.9,22.7,36.2,265.1,2.33,0.89,7.1,13.3,26.7,133.1,0.78,5.0,7.44,6.56,54.0,2.11,44.6,8.9,-11.52
23,Atlanta Falcons,9,27.9,410.0,63.6,6.5,1.11,0.33,22.9,26.4,39.0,310.3,2.44,0.78,7.7,15.4,23.0,99.7,0.89,4.3,5.22,5.44,47.9,2.22,44.4,10.1,-10.77
24,Houston Texans,9,28.0,409.1,67.3,6.1,0.56,0.33,24.1,22.6,32.9,241.7,2.00,0.22,6.9,13.2,32.3,167.4,1.33,5.2,9.33,4.00,40.6,1.56,45.2,5.4,-15.59
25,Denver Broncos,9,28.2,360.0,67.4,5.3,1.00,0.33,20.3,23.8,35.8,231.2,1.56,0.67,6.0,12.3,29.2,128.8,1.11,4.4,6.44,6.22,60.4,1.56,42.6,8.3,-4.19
26,Buffalo Bills,10,26.5,373.7,64.0,5.8,1.60,0.90,23.2,22.6,33.3,238.7,1.50,0.70,6.6,12.2,28.0,135.0,1.50,4.8,9.30,5.80,46.1,1.70,48.0,16.0,-10.30
27,Seattle Seahawks,9,29.6,448.3,73.1,6.1,1.67,0.67,27.3,31.2,44.8,353.3,1.78,1.00,7.5,18.4,25.9,95.0,1.56,3.7,7.11,5.44,45.9,1.78,48.5,13.9,-11.98
28,Detroit Lions,9,29.7,400.0,67.4,5.9,0.89,0.33,25.9,23.3,35.7,258.4,1.89,0.56,7.0,15.2,30.3,141.6,1.78,4.7,8.22,6.22,52.0,2.44,44.1,8.6,-15.49
29,New York Jets,9,29.8,402.7,66.4,6.1,1.11,0.33,24.1,25.8,35.6,281.8,1.78,0.78,7.7,14.7,29.7,120.9,1.33,4.1,6.67,7.00,67.1,2.78,47.5,10.1,-12.07
30,Jacksonville Jaguars,9,30.1,415.6,64.8,6.4,1.00,0.22,23.8,23.6,33.6,283.9,2.11,0.78,8.2,12.8,30.2,131.7,1.33,4.4,8.00,4.89,45.2,3.00,50.0,9.0,-14.25
31,Carolina Panthers,10,27.2,380.0,64.4,5.9,1.30,0.80,24.1,25.7,37.2,255.5,1.60,0.50,6.7,14.2,26.1,124.5,1.40,4.8,7.40,5.70,51.6,2.50,54.7,13.7,-12.25
32,Dallas Cowboys,9,32.2,381.6,66.2,5.8,0.78,0.44,22.4,20.2,32.7,224.6,2.33,0.33,6.5,11.7,31.7,157.0,1.22,5.0,8.22,5.44,39.2,2.56,46.6,6.8,-10.96
