Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,8,17.8,324.9,64.0,5.1,1.75,1.25,20.1,24.4,38.5,223.1,1.25,0.50,5.4,13.1,22.5,101.8,0.75,4.5,4.75,4.38,35.0,2.25,25.6,15.6,2.51
2,Los Angeles Rams,8,19.0,291.9,61.6,4.7,1.25,0.50,18.4,22.4,34.5,197.1,1.13,0.75,5.2,10.9,24.0,94.8,0.75,3.9,6.25,5.00,41.8,1.25,27.3,11.4,3.50
3,Indianapolis Colts,8,20.0,290.0,60.1,4.8,1.63,0.25,17.9,20.4,32.4,206.4,1.25,1.38,5.9,11.3,25.3,83.6,0.75,3.3,5.00,5.50,53.4,1.63,31.3,15.7,0.62
4,Pittsburgh Steelers,8,20.1,317.4,62.5,5.1,1.88,0.50,18.4,19.0,33.5,214.6,1.75,1.38,5.7,11.4,25.0,102.8,0.63,4.1,5.13,6.38,62.0,1.88,31.5,16.9,1.04
5,Miami Dolphins,8,20.1,384.3,66.4,5.8,1.75,0.88,23.6,23.3,37.0,252.5,1.38,0.88,6.4,13.1,26.9,131.8,1.25,4.9,8.38,5.38,54.5,2.13,28.9,15.6,-2.21
6,Arizona Cardinals,8,22.5,370.1,67.6,5.5,1.25,0.50,24.3,23.9,37.4,244.0,1.75,0.75,6.1,13.6,27.5,126.1,0.63,4.6,7.88,6.88,54.0,2.75,39.3,10.7,-6.76
7,Kansas City Chiefs,9,20.3,354.1,65.4,5.4,1.56,0.56,21.7,21.3,34.2,215.7,1.22,1.00,5.9,11.1,29.1,138.4,1.00,4.8,8.44,5.89,44.9,2.11,35.1,14.9,-3.12
8,Washington Football Team,8,23.5,314.3,62.3,5.0,1.13,0.13,18.5,18.5,28.9,185.6,1.38,1.00,5.8,10.4,30.0,128.6,1.13,4.3,6.50,5.50,47.0,1.63,37.4,9.9,-1.58
9,Chicago Bears,9,21.1,335.1,65.3,5.1,1.00,0.44,20.7,21.0,34.9,218.2,1.11,0.56,5.9,11.1,28.2,116.9,0.67,4.1,6.33,6.67,62.7,3.22,37.7,8.5,-1.76
10,New England Patriots,8,24.3,352.9,57.0,6.2,1.75,0.50,20.5,17.9,26.4,221.9,1.50,1.25,8.0,10.8,29.3,131.0,1.00,4.5,8.25,5.00,41.0,1.50,46.2,17.9,-7.76
11,New Orleans Saints,8,25.0,311.6,60.4,5.2,1.13,0.25,20.1,22.8,34.8,231.4,2.38,0.88,6.2,12.4,22.9,80.3,0.63,3.5,4.38,4.13,35.3,3.38,42.2,9.6,-7.47
12,Tennessee Titans,8,25.1,394.1,68.6,5.7,1.75,0.63,23.9,27.4,40.9,275.0,2.38,1.13,6.5,15.5,26.5,119.1,0.88,4.5,6.63,6.25,48.4,1.75,40.5,15.5,-9.14
13,Tampa Bay Buccaneers,9,22.6,312.9,63.4,4.9,1.78,0.56,19.0,24.7,36.3,235.0,1.67,1.22,5.9,12.6,23.9,77.9,0.78,3.3,4.89,5.78,62.7,1.56,33.0,15.5,0.67
14,Green Bay Packers,8,25.5,345.4,57.8,6.0,0.75,0.38,20.9,21.9,31.1,234.4,1.63,0.38,7.0,11.1,24.5,111.0,1.38,4.5,7.63,5.00,40.0,2.13,41.3,7.5,-10.03
15,Philadelphia Eagles,8,25.6,340.1,68.1,5.0,1.25,0.88,22.1,23.0,34.8,209.4,1.63,0.38,5.5,13.5,29.9,130.8,1.38,4.4,6.50,7.75,67.8,2.13,36.6,8.9,-2.11
16,San Francisco 49ers,9,23.0,324.7,60.8,5.3,1.11,0.22,20.1,21.1,32.3,218.4,1.78,0.89,6.4,11.0,26.8,106.2,0.56,4.0,6.44,5.44,47.6,2.67,41.5,10.6,-4.53
17,Cincinnati Bengals,8,26.8,400.9,63.9,6.3,1.13,0.13,23.0,22.1,35.0,256.6,2.13,1.00,7.1,12.9,27.5,144.3,0.88,5.2,8.13,6.63,55.1,2.00,43.7,10.3,-11.96
18,Los Angeles Chargers,8,27.0,358.5,63.0,5.7,0.88,0.38,19.4,23.5,37.0,240.3,2.00,0.50,6.2,12.5,24.0,118.3,0.88,4.9,5.75,6.25,56.1,1.13,42.9,6.6,-4.67
