Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Russell Wilson\WilsRu00,SEA,QB,32,3,3,79,103,925,14,1,14,90,6.43,0,0,0,0,,0,1,0,0,,1,102,102.0,106.0,103.0,43,1,2
2,Josh Allen\AlleJo02,BUF,QB,24,3,3,81,114,1038,10,1,22,84,3.82,2,0,0,0,,0,3,3,2,,,94,93.9,100.9,94.9,35,2,5
3,Patrick Mahomes\MahoPa00,KAN,QB,25,3,3,82,121,898,9,0,10,80,8.00,1,0,0,0,,0,0,0,1,,1,88,87.9,90.9,87.9,29,3,7
4,Dak Prescott\PresDa01,DAL,QB,27,3,3,96,143,1188,5,2,14,74,5.29,3,0,0,0,,0,2,2,3,,,85,84.9,91.9,86.9,26,4,9
5,Alvin Kamara\KamaAl00,NOR,RB,25,3,2,0,0,0,0,0,31,153,4.94,3,31,27,285,10.56,3,0,0,6,,,80,106.8,112.8,93.3,50,1,1
6,Kyler Murray\MurrKy00,ARI,QB,23,3,3,75,113,786,4,5,26,187,7.19,4,0,0,0,,0,0,0,4,,,80,80.1,91.1,85.1,21,5,14
7,Aaron Rodgers\RodgAa00,GNB,QB,37,3,3,71,106,887,9,0,5,26,5.20,0,1,1,-6,-6.00,0,0,0,0,,,73,74.5,77.5,74.0,14,6,23
8,Cam Newton\NewtCa00,NWE,QB,31,3,3,62,91,714,2,2,35,149,4.26,4,0,0,0,,0,0,0,4,,,71,71.5,79.5,73.5,12,7,31
9,Aaron Jones\JoneAa00,GNB,RB,26,3,3,0,0,0,0,0,50,303,6.06,4,18,10,95,9.50,1,1,0,5,,,70,79.8,82.8,74.8,40,2,3
10,Matt Ryan\RyanMa00,ATL,QB,35,3,3,80,128,961,7,2,6,14,2.33,0,0,0,0,,0,0,0,0,,,64,63.8,68.8,65.8,5,8,54
11,Jared Goff\GoffJa00,LAR,QB,26,3,3,63,90,863,5,2,13,32,2.46,1,0,0,0,,0,0,0,1,,1,62,61.7,66.7,63.7,2,9,64
12,Joe Burrow\BurrJo01,CIN,QB,24,3,3,91,141,821,5,1,16,64,4.00,1,0,0,0,,0,3,1,1,,,61,61.2,66.2,62.2,2,10,67
13,Calvin Ridley\RidlCa00,ATL,WR,26,3,3,0,0,0,0,0,2,6,3.00,0,35,21,349,16.62,4,0,0,4,,,60,80.5,83.5,70.0,36,1,4
14,Dalvin Cook\CookDa01,MIN,RB,25,3,3,0,0,0,0,0,48,294,6.13,4,9,5,24,4.80,0,1,1,4,3,,60,64.8,68.8,62.3,30,3,6
15,Ben Roethlisberger\RoetBe00,PIT,QB,38,3,3,73,109,777,7,1,11,4,0.36,0,0,0,0,,0,2,0,0,,1,59,59.5,63.5,60.5,,11,74
16,Lamar Jackson\JackLa00,BAL,QB,23,3,3,53,77,576,5,0,32,182,5.69,0,0,0,0,,0,3,1,0,,,59,59.2,66.2,59.2,,12,
