Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Seattle Seahawks,5,33.8,395.8,60.4,6.6,0.80,0.20,22.2,24.6,33.8,280.4,3.80,0.60,7.6,14.0,23.6,115.4,0.80,4.9,6.80,4.60,33.8,1.40,44.6,7.1,14.5
2,Dallas Cowboys,5,32.6,488.0,74.6,6.5,2.20,1.40,29.4,32.2,47.2,381.4,2.00,0.80,7.7,19.6,25.2,106.6,1.80,4.2,7.60,6.60,54.8,2.20,45.8,18.6,12.4
3,Cleveland Browns,5,31.2,386.6,66.6,5.8,1.20,0.40,23.4,19.0,30.8,198.2,2.00,0.80,6.2,12.0,34.4,188.4,1.60,5.5,9.80,5.80,51.2,1.60,46.3,11.1,11.8
4,New Orleans Saints,5,30.6,378.4,65.0,5.8,0.80,0.20,23.4,25.2,35.6,263.4,1.80,0.60,7.1,14.6,28.0,115.0,1.60,4.1,7.40,6.60,91.6,1.40,48.1,7.4,11.4
5,Green Bay Packers,4,38.0,445.5,65.3,6.8,,0.00,25.8,24.5,34.8,294.8,3.25,0.00,8.3,15.3,29.8,150.8,1.00,5.1,7.50,4.75,40.8,3.00,64.1,0.0,23.3
6,Las Vegas Raiders,5,30.2,399.4,65.8,6.1,1.40,1.20,23.8,25.6,35.0,278.4,2.20,0.20,7.6,14.0,29.2,121.0,1.20,4.1,7.40,5.40,43.4,2.40,56.0,14.0,14.5
7,Baltimore Ravens,5,29.8,339.6,58.8,5.8,1.00,0.40,19.4,17.6,27.6,178.8,1.80,0.60,6.0,10.4,28.8,160.8,1.00,5.6,7.80,5.00,37.4,1.20,45.3,9.4,7.77
8,Kansas City Chiefs,5,29.8,407.2,66.2,6.2,0.60,0.40,24.0,24.6,38.6,287.8,2.60,0.20,7.2,16.0,26.4,119.4,0.80,4.5,6.00,6.40,53.0,2.00,50.0,6.0,15.3
9,Buffalo Bills,5,27.8,401.8,65.2,6.2,1.60,1.00,24.2,26.8,38.8,308.0,2.80,0.60,7.5,15.2,24.4,93.8,0.80,3.8,7.00,6.60,65.2,2.00,48.8,12.2,14.3
10,Tampa Bay Buccaneers,5,27.8,365.0,64.8,5.6,1.40,0.60,21.2,25.2,39.2,265.6,2.40,0.80,6.5,12.8,24.0,99.4,0.80,4.1,5.40,8.40,82.0,3.00,42.4,10.2,5.09
11,Los Angeles Rams,5,27.2,403.6,65.6,6.2,1.20,0.60,23.2,21.8,30.4,264.0,1.60,0.60,8.3,12.6,33.8,139.6,1.80,4.1,9.80,3.60,30.6,0.80,42.6,9.3,14.2
12,Miami Dolphins,5,27.2,364.8,63.6,5.7,1.00,0.00,23.6,24.0,34.0,260.6,1.40,1.00,7.3,13.8,28.0,104.2,1.20,3.7,7.20,4.60,39.0,2.60,52.9,9.8,9.98
13,Minnesota Vikings,5,26.4,376.0,61.2,6.1,1.80,0.40,22.8,17.8,27.8,215.4,1.60,1.40,7.1,11.0,30.8,160.6,1.60,5.2,9.80,4.80,35.2,2.00,39.3,16.1,8.62
14,Arizona Cardinals,5,25.6,395.4,67.4,5.9,1.40,0.20,25.6,25.2,36.2,254.4,1.60,1.20,6.7,13.8,29.6,141.0,1.60,4.8,9.20,8.40,65.0,2.60,40.7,13.0,9.84
15,Indianapolis Colts,5,25.2,349.8,62.4,5.6,1.00,0.00,21.0,22.2,31.6,244.0,0.80,1.00,7.5,12.0,29.8,105.8,0.80,3.6,6.20,6.20,64.6,2.80,46.0,10.0,5.25
16,San Francisco 49ers,5,24.8,364.2,64.4,5.7,1.40,0.40,21.6,22.8,35.2,235.2,1.40,1.00,6.1,13.8,25.6,129.0,1.60,5.0,5.40,5.80,54.8,2.40,40.7,13.0,4.87
17,Carolina Panthers,5,24.4,399.6,64.6,6.2,1.00,0.40,22.8,26.0,35.6,281.8,1.20,0.60,7.6,15.2,27.4,117.8,1.20,4.3,6.20,6.20,53.8,1.40,49.0,9.8,11.9
18,Atlanta Falcons,5,24.4,390.6,69.2,5.6,0.80,0.20,23.4,25.8,41.0,276.0,1.40,0.60,6.4,15.4,26.0,114.6,1.20,4.4,6.60,5.40,52.2,1.40,44.6,7.1,7.82
19,Tennessee Titans,4,30.5,377.3,68.0,5.5,0.25,0.00,24.3,22.8,33.0,245.8,2.25,0.25,7.2,14.0,34.0,131.5,1.25,3.9,8.00,4.75,39.5,2.25,51.5,3.0,15.4
20,Pittsburgh Steelers,4,29.5,378.3,67.8,5.6,1.00,0.75,22.0,25.0,35.8,239.5,2.50,0.25,6.4,13.8,30.5,138.8,1.00,4.5,6.50,5.75,52.5,1.75,44.4,6.7,12.1
21,Philadelphia Eagles,5,22.6,322.4,67.6,4.8,2.20,0.40,21.8,23.6,39.2,214.4,1.20,1.80,5.0,12.0,24.6,108.0,1.20,4.4,7.20,6.20,50.4,2.60,32.8,19.0,-0.10
22,Houston Texans,5,22.0,359.2,56.4,6.4,1.40,0.40,19.2,21.8,32.6,274.6,1.80,1.00,7.6,13.6,20.4,84.6,0.60,4.1,4.60,4.00,29.6,1.00,42.9,12.2,6.79
23,Los Angeles Chargers,5,22.0,390.2,68.6,5.7,1.40,0.80,21.4,22.6,34.2,267.8,1.80,0.60,7.4,12.6,32.2,122.4,0.60,3.8,7.20,5.60,41.0,1.60,32.8,12.1,3.70
24,Jacksonville Jaguars,5,21.8,366.4,64.0,5.7,1.40,0.60,23.2,27.4,39.2,268.0,2.00,0.80,6.3,15.4,21.4,98.4,0.60,4.6,5.40,6.40,53.6,2.40,41.7,14.6,7.66
25,Chicago Bears,5,21.0,323.2,65.0,5.0,1.20,0.00,20.4,24.6,39.8,227.8,2.20,1.20,5.4,13.2,23.0,95.4,0.20,4.1,5.20,7.00,69.0,2.00,33.3,10.5,3.03
26,Cincinnati Bengals,5,20.4,332.4,72.2,4.6,1.40,0.80,22.6,27.0,41.4,229.8,1.20,0.60,5.0,15.4,26.4,102.6,0.60,3.9,5.80,6.40,55.0,1.40,37.3,11.9,-1.40
27,Detroit Lions,4,24.8,334.0,62.0,5.4,0.75,0.00,21.0,20.8,34.3,232.3,2.00,0.75,6.2,13.0,24.8,101.8,0.75,4.1,5.25,6.75,60.5,2.75,42.9,7.1,7.72
28,New England Patriots,4,24.3,396.0,68.8,5.8,1.75,0.50,26.0,20.5,32.0,216.3,0.75,1.25,6.4,12.5,35.0,179.8,1.75,5.1,11.3,2.75,33.8,2.25,36.6,17.1,8.54
29,Washington Football Team,5,17.8,263.0,62.8,4.2,1.60,1.00,18.0,21.4,35.2,181.6,0.80,0.60,4.6,11.0,23.4,81.4,1.40,3.5,5.20,4.40,39.4,1.80,25.8,11.3,-4.82
30,Denver Broncos,4,20.5,306.8,63.3,4.8,2.00,0.50,19.0,21.3,35.5,214.3,1.50,1.50,5.5,10.8,24.5,92.5,0.75,3.8,4.25,5.25,52.5,4.00,31.3,16.7,-1.48
31,New York Giants,5,16.2,282.4,60.6,4.7,1.80,0.80,18.8,22.2,36.4,203.4,0.40,1.00,5.1,12.2,21.0,79.0,0.60,3.8,4.60,4.80,32.8,2.00,36.7,18.4,-4.72
32,New York Jets,5,15.0,279.4,62.6,4.5,1.00,0.20,17.2,20.4,34.6,176.0,0.80,0.80,4.7,8.80,25.0,103.4,0.40,4.1,6.00,7.60,73.0,2.40,27.8,9.3,-7.61
