Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,6,17.3,339.8,66.2,5.1,1.83,1.33,20.3,24.8,38.7,230.8,1.33,0.50,5.5,13.8,23.8,109.0,0.67,4.6,4.67,4.67,36.7,1.83,26.5,16.2,1.94
2,Miami Dolphins,6,18.8,360.2,62.5,5.8,1.50,0.67,22.0,21.7,34.8,236.0,1.17,0.83,6.3,11.5,24.8,124.2,1.33,5.0,8.33,5.17,53.3,2.17,27.7,13.8,-3.02
3,Indianapolis Colts,6,19.2,288.0,59.7,4.8,1.67,0.00,17.3,20.0,32.3,199.7,1.17,1.67,5.8,10.7,25.2,88.3,0.67,3.5,4.83,5.83,49.3,1.83,32.8,16.4,0.22
4,Pittsburgh Steelers,6,19.7,286.3,58.3,4.9,1.50,0.17,17.2,19.7,33.7,217.5,1.83,1.33,5.7,11.7,20.3,68.8,0.67,3.4,3.17,5.83,52.7,2.33,28.8,13.6,1.53
5,Los Angeles Rams,7,17.7,312.9,63.6,4.9,1.14,0.29,19.9,23.9,36.3,212.4,1.14,0.86,5.3,11.7,23.9,100.4,0.71,4.2,6.71,5.29,43.4,1.43,29.7,10.8,0.91
6,San Francisco 49ers,7,19.4,309.6,59.6,5.2,1.43,0.29,19.0,19.7,31.9,203.3,1.14,1.14,6.1,10.0,26.0,106.3,0.57,4.1,6.43,5.43,50.4,2.57,37.5,13.9,-0.47
7,Chicago Bears,7,20.0,342.0,65.9,5.2,1.29,0.57,21.7,21.1,36.0,222.1,0.86,0.71,5.8,11.7,27.6,119.9,0.86,4.3,6.14,7.00,66.0,3.86,38.3,11.1,-1.87
8,Tampa Bay Buccaneers,7,20.3,291.3,61.3,4.8,1.71,0.43,17.1,23.9,35.7,225.3,1.29,1.29,5.7,11.6,22.0,66.0,0.71,3.0,3.86,6.00,66.1,1.71,29.6,14.8,3.33
9,New England Patriots,6,23.8,360.3,59.2,6.1,2.00,0.67,20.7,19.0,28.0,228.2,1.50,1.33,7.7,11.2,29.7,132.2,0.83,4.5,8.00,5.17,44.3,1.50,45.0,20.0,-5.76
10,Kansas City Chiefs,7,20.4,361.6,65.3,5.5,1.86,0.57,21.7,19.6,32.6,211.7,1.29,1.29,6.1,10.6,30.4,149.9,1.00,4.9,9.29,5.43,42.4,1.86,33.8,17.6,-2.44
11,Arizona Cardinals,7,20.9,378.4,69.3,5.5,1.43,0.57,24.3,24.4,38.7,247.3,1.71,0.86,6.0,13.9,27.9,131.1,0.57,4.7,7.86,6.86,51.0,2.57,37.3,12.0,-5.54
12,Tennessee Titans,6,25.5,401.8,67.5,6.0,2.00,0.50,23.7,26.2,39.7,272.0,2.50,1.50,6.7,15.2,26.7,129.8,0.83,4.9,7.33,6.33,51.2,1.17,41.3,17.5,-10.38
