Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Tampa Bay Buccaneers,7,31.7,371.9,65.3,5.7,1.00,0.43,22.3,25.1,38.4,266.1,2.57,0.57,6.7,13.6,25.7,105.7,1.14,4.1,5.86,6.57,61.4,2.86,46.3,7.5,10.2
2,Kansas City Chiefs,7,31.1,398.3,65.0,6.1,0.71,0.57,23.4,23.0,34.9,263.6,2.29,0.14,7.2,14.1,28.6,134.7,1.00,4.7,7.43,5.86,49.7,1.86,51.4,7.1,14.6
3,Arizona Cardinals,7,29.0,419.1,68.3,6.1,1.29,0.29,25.9,24.1,36.1,258.4,1.86,1.00,6.9,13.3,30.9,160.7,1.71,5.2,10.0,7.86,58.3,2.57,44.9,11.5,12.4
4,Seattle Seahawks,6,33.8,425.2,64.0,6.6,1.17,0.17,24.0,26.0,36.5,295.7,3.67,1.00,7.5,15.2,24.7,129.5,0.83,5.3,7.50,5.17,41.2,1.33,45.6,10.3,14.1
5,Cleveland Browns,7,28.6,364.4,62.6,5.8,1.29,0.29,21.7,19.0,30.1,207.4,2.29,1.00,6.5,12.0,30.9,157.0,1.14,5.1,8.00,5.86,50.1,1.71,42.7,12.0,8.72
6,Green Bay Packers,6,32.8,393.7,63.8,6.2,0.33,0.00,23.0,22.8,34.7,261.5,2.83,0.33,7.3,14.2,27.8,132.2,1.00,4.7,6.50,5.00,46.5,2.33,51.6,3.2,15.3
7,Tennessee Titans,6,31.3,401.3,66.3,6.1,0.50,0.17,23.8,23.2,34.0,256.2,2.50,0.33,7.3,14.0,31.0,145.2,1.33,4.7,7.67,5.50,50.7,2.17,52.4,4.8,17.0
8,Atlanta Falcons,7,26.3,401.0,70.6,5.7,0.86,0.43,23.9,27.1,41.0,295.6,1.71,0.43,6.9,16.1,27.4,105.4,1.14,3.8,6.14,5.71,48.4,1.57,46.8,7.8,10.0
9,Pittsburgh Steelers,6,30.5,358.7,67.8,5.3,1.17,0.50,21.5,24.5,35.8,229.0,2.17,0.67,6.2,12.5,30.7,129.7,1.33,4.2,7.33,6.17,54.0,1.67,44.1,8.8,10.3
10,San Francisco 49ers,7,25.9,382.6,65.0,5.9,1.29,0.29,22.6,22.4,33.4,244.9,1.43,1.00,6.8,14.0,28.9,137.7,1.71,4.8,6.57,6.00,57.4,2.00,43.2,12.2,8.50
11,New Orleans Saints,6,30.0,384.5,65.3,5.9,0.83,0.33,23.8,26.0,35.8,265.7,1.83,0.50,7.1,14.8,28.2,118.8,1.50,4.2,7.67,6.50,84.7,1.33,50.8,8.2,13.0
12,Baltimore Ravens,6,29.8,342.2,60.2,5.7,0.83,0.33,19.0,17.3,27.5,177.8,1.67,0.50,5.9,10.3,30.2,164.3,1.17,5.4,7.67,6.17,53.2,1.00,44.8,7.5,6.36
13,Los Angeles Rams,7,25.1,385.7,64.7,6.0,1.14,0.57,22.4,21.6,31.9,246.9,1.71,0.57,7.5,12.0,31.7,138.9,1.43,4.4,9.29,4.00,33.3,1.14,39.0,9.1,10.9
14,Dallas Cowboys,7,25.1,418.0,73.0,5.7,2.29,1.29,26.6,29.4,44.6,316.1,1.57,1.00,6.7,17.1,25.6,101.9,1.29,4.0,7.14,6.43,51.3,2.29,38.0,20.3,6.18
